District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
NYC DOE,NEW YORK,899525,87.3%,86.0%,114073,125710,33.2%,54.9%,298655,493652,486797,280163,16.0%,21.0%,41.2%,18.7%,1.2%,1.9%
BUFFALO,ERIE,30901,98.4%,96.7%,504,1011,12.1%,96.3%,3747,29749,26649,140,18.8%,44.1%,20.4%,11.6%,0.6%,4.5%
YONKERS,WESTCHESTER,25744,92.9%,90.9%,1755,2295,6.6%,23.6%,1625,5985,21357,17067,15.5%,16.7%,60.1%,5.3%,0.5%,2.0%
ROCHESTER,MONROE,23856,84.4%,95.2%,4182,1116,35.1%,86.8%,9429,20384,13253,1993,9.3%,53.3%,32.9%,2.8%,0.2%,1.5%
SYRACUSE,ONONDAGA,19427,75.9%,81.8%,4684,3541,8.0%,62.2%,1557,12086,13186,3800,21.7%,48.2%,14.4%,7.0%,1.1%,7.7%
BRENTWOOD,SUFFOLK,17992,88.3%,77.8%,1826,4044,5.6%,38.8%,873,7066,12854,7091,2.7%,8.0%,86.5%,2.0%,0.3%,0.4%
WAPPINGERS,DUTCHESS,12584,98.2%,78.9%,186,3759,0.9%,31.3%,95,5583,10008,8485,67.1%,7.1%,19.1%,4.3%,0.0%,2.4%
SACHEM,SUFFOLK,12322,96.8%,48.1%,402,6585,0.0%,4.8%,0,607,12100,5500,68.4%,3.5%,19.2%,5.9%,0.2%,2.8%
HUDSON FALLS,WASHINGTON,11335,100.0%,99.1%,0,100,2.0%,91.4%,225,10355,10970,880,90.0%,0.9%,3.1%,0.6%,0.2%,5.3%
NEWBURGH,ORANGE,10939,99.7%,100.0%,30,0,7.9%,100.0%,867,10945,10045,0,16.3%,21.0%,55.9%,2.3%,0.2%,4.3%
GREECE,MONROE,10518,95.7%,100.0%,454,0,0.7%,100.0%,77,10372,9987,0,56.4%,15.5%,17.2%,4.4%,0.1%,6.4%
NEW ROCHELLE,WESTCHESTER,10204,98.8%,100.0%,127,0,5.5%,64.7%,558,7329,9537,3994,24.3%,19.4%,50.1%,4.6%,0.1%,1.4%
UTICA,ONEIDA,9739,100.0%,100.0%,0,0,9.0%,75.0%,872,7242,8789,2419,28.7%,24.6%,20.2%,19.9%,0.2%,6.3%
WILLIAMSVILLE,ERIE,9588,100.0%,100.0%,0,0,0.4%,76.2%,35,7261,9557,2262,72.2%,4.1%,4.2%,14.8%,0.2%,4.5%
SHENENDEHOWA,SARATOGA,9330,99.5%,96.7%,45,279,0.2%,68.1%,22,5773,9263,2426,73.4%,2.8%,7.3%,11.2%,0.0%,5.2%
SCHENECTADY,SCHENECTADY,9305,99.5%,96.7%,48,307,6.3%,63.3%,565,5832,8408,3077,19.7%,28.7%,22.1%,20.5%,0.2%,8.9%
EAST RAMAPO,ROCKLAND,9254,93.7%,85.9%,585,1303,6.1%,78.0%,569,7205,8099,727,4.0%,24.3%,67.8%,3.0%,0.2%,0.7%
WILLIAM FLOYD,SUFFOLK,8933,97.7%,29.7%,205,6736,0.0%,14.9%,0,1424,8719,1419,37.7%,15.8%,38.2%,2.4%,0.4%,5.5%
LONGWOOD,SUFFOLK,8902,80.1%,83.8%,531,933,0.0%,53.4%,0,3069,2144,1740,44.8%,17.5%,29.0%,3.3%,0.4%,5.1%
ALBANY,ALBANY,8623,98.6%,32.3%,117,5838,1.3%,27.3%,113,2350,8393,434,19.2%,45.2%,19.7%,8.9%,0.3%,6.8%
MIDDLE COUNTRY,SUFFOLK,8411,100.0%,100.0%,0,0,0.9%,89.4%,72,7463,8339,885,57.0%,5.0%,26.6%,8.4%,0.0%,3.0%
WEBSTER,MONROE,8180,100.0%,100.0%,0,0,0.6%,50.0%,48,8107,8048,8107,82.3%,3.6%,7.2%,3.0%,0.2%,3.8%
SMITHTOWN,SUFFOLK,8110,100.0%,100.0%,0,0,0.6%,100.0%,50,8110,8060,0,79.1%,1.5%,10.9%,6.1%,0.1%,2.2%
SEWANHAKA,NASSAU,8032,100.0%,100.0%,0,0,0.7%,100.0%,56,8032,7976,0,30.6%,22.1%,20.9%,25.0%,0.2%,1.2%
HAVERSTRAW-STONY POINT,ROCKLAND,7694,100.0%,100.0%,0,0,3.5%,100.0%,270,7694,7424,0,21.1%,13.7%,60.6%,3.3%,0.2%,1.1%
SUFFERN,ROCKLAND,7642,100.0%,100.0%,0,0,1.3%,100.0%,102,7642,7585,0,48.1%,8.3%,31.2%,8.1%,0.4%,4.0%
HALF HOLLOW HILLS,SUFFOLK,7543,100.0%,100.0%,0,0,0.3%,100.0%,21,7543,7522,0,50.6%,12.3%,13.4%,18.4%,0.3%,5.0%
NORTH SYRACUSE,ONONDAGA,7531,99.3%,99.5%,49,37,0.2%,97.8%,13,7133,7354,123,79.4%,4.6%,4.8%,4.0%,0.5%,6.7%
CENTRAL ISLIP,SUFFOLK,7434,84.8%,61.8%,1044,2794,2.9%,2.9%,200,215,5622,4310,3.9%,14.8%,78.8%,1.8%,0.1%,0.7%
ARLINGTON,DUTCHESS,7429,100.0%,99.0%,0,84,2.3%,74.8%,168,6019,7224,1941,63.9%,8.0%,19.9%,3.5%,0.1%,4.6%
MOUNT VERNON,WESTCHESTER,7401,100.0%,100.0%,0,0,12.3%,78.3%,879,5796,6265,1605,4.5%,65.7%,26.4%,1.8%,0.2%,1.4%
CLARKSTOWN,ROCKLAND,7328,100.0%,96.6%,0,250,0.2%,63.8%,12,4676,7324,2400,56.2%,4.6%,22.2%,14.1%,0.1%,2.7%
MIDDLETOWN,ORANGE,7286,100.0%,100.0%,0,0,1.4%,100.0%,103,7286,7183,0,11.9%,22.7%,58.8%,2.8%,0.1%,3.6%
EAST MEADOW,NASSAU,7190,96.4%,91.5%,259,683,0.2%,63.7%,17,5115,6923,2229,47.0%,4.3%,22.4%,25.4%,0.1%,0.8%
LEVITTOWN,NASSAU,7082,100.0%,100.0%,0,0,0.0%,100.0%,2,7082,7080,0,61.9%,1.3%,22.5%,12.5%,0.1%,1.7%
PATCHOGUE-MEDFORD,SUFFOLK,6998,99.9%,78.6%,7,1496,0.7%,67.8%,48,4744,6935,752,43.2%,5.0%,46.1%,2.4%,0.1%,3.2%
WHITE PLAINS,WESTCHESTER,6963,100.0%,100.0%,0,0,2.6%,100.0%,178,6963,6785,0,22.2%,12.1%,57.8%,3.9%,0.0%,3.9%
LIVERPOOL,ONONDAGA,6827,100.0%,100.0%,0,0,1.0%,100.0%,68,6827,6759,0,69.7%,9.9%,7.1%,6.2%,0.5%,6.7%
NIAGARA FALLS,NIAGARA,6814,100.0%,100.0%,0,0,11.1%,70.7%,761,4820,6082,1994,36.9%,34.6%,9.1%,2.7%,2.1%,14.7%
FREEPORT,NASSAU,6802,95.7%,98.5%,294,102,4.2%,94.4%,285,6504,6223,286,5.4%,21.7%,69.9%,0.9%,0.4%,1.7%
GREAT NECK,NASSAU,6801,100.0%,100.0%,0,0,1.2%,100.0%,84,6801,6717,0,43.0%,1.0%,9.3%,43.9%,0.0%,2.8%
MONROE WOODBURY,ORANGE,6699,100.0%,100.0%,0,0,1.4%,99.3%,92,6653,6607,46,43.7%,9.4%,36.6%,7.0%,0.2%,3.2%
MASSAPEQUA,NASSAU,6557,100.0%,100.0%,0,0,0.1%,100.0%,8,6557,6549,0,88.3%,0.4%,7.3%,1.9%,0.2%,2.0%
SYOSSET,NASSAU,6522,100.0%,100.0%,0,0,0.0%,100.0%,0,6522,6522,0,50.5%,0.5%,4.9%,41.8%,0.1%,2.2%
UNIONDALE,NASSAU,6428,99.9%,100.0%,9,0,1.0%,54.2%,63,3484,6356,2944,1.4%,35.9%,61.1%,1.1%,0.1%,0.5%
KENMORE,ERIE,6286,100.0%,100.0%,0,0,1.5%,62.9%,96,3956,6190,2330,72.1%,7.7%,9.3%,3.4%,0.6%,6.7%
HEMPSTEAD,NASSAU,6207,92.4%,99.1%,483,58,15.9%,65.4%,1003,4348,4831,2243,1.6%,21.0%,74.9%,0.8%,0.4%,1.2%
KINGSTON,ULSTER,6098,99.3%,98.3%,44,104,1.4%,52.7%,87,3218,5966,2781,51.5%,11.6%,24.9%,2.7%,0.1%,9.4%
WEST SENECA,ERIE,6057,93.0%,100.0%,422,0,0.3%,100.0%,21,6057,5614,0,84.3%,4.1%,5.7%,1.8%,0.3%,3.8%
SARATOGA SPRINGS,SARATOGA,5999,98.6%,100.0%,86,0,1.4%,81.6%,86,4893,5913,1106,87.9%,1.6%,4.4%,2.0%,0.0%,4.1%
NORTH COLONIE CSD,ALBANY,5928,100.0%,100.0%,0,0,1.1%,100.0%,63,5928,5865,0,61.7%,6.6%,5.7%,19.8%,0.3%,5.8%
SOUTH HUNTINGTON,SUFFOLK,5731,100.0%,100.0%,0,0,1.5%,86.3%,86,5731,5645,912,36.6%,6.6%,47.9%,5.3%,0.3%,3.3%
BAY SHORE,SUFFOLK,5721,92.9%,84.1%,404,912,1.3%,55.4%,74,3168,5246,1641,26.9%,16.9%,48.0%,4.8%,0.2%,3.1%
COMMACK,SUFFOLK,5683,100.0%,100.0%,0,0,0.0%,63.1%,0,5683,5733,3322,74.8%,1.8%,10.6%,10.3%,0.2%,2.2%
FAIRPORT,MONROE,5624,99.7%,100.0%,16,0,0.7%,60.5%,38,3403,5549,2225,84.8%,4.0%,5.3%,2.6%,0.0%,3.3%
THREE VILLAGE,SUFFOLK,5623,100.0%,100.0%,0,0,0.4%,100.0%,21,5623,5597,0,75.5%,1.4%,8.1%,12.1%,0.1%,2.8%
ELMIRA,CHEMUNG,5610,92.7%,75.9%,409,1357,2.7%,43.6%,150,2460,5046,1824,70.5%,12.8%,3.8%,0.5%,0.1%,12.3%
LAKELAND,WESTCHESTER,5561,100.0%,100.0%,0,0,0.3%,100.0%,18,5561,5545,0,61.5%,6.7%,23.8%,5.0%,0.1%,2.8%
LINDENHURST,SUFFOLK,5556,100.0%,100.0%,0,0,0.9%,94.8%,51,5266,5505,290,63.3%,3.0%,28.9%,3.4%,0.1%,1.3%
PITTSFORD,MONROE,5544,100.0%,100.0%,0,0,2.7%,16.0%,152,888,5392,4655,72.4%,2.8%,5.5%,13.0%,0.1%,6.3%
OCEANSIDE,NASSAU,5484,100.0%,100.0%,0,0,0.4%,70.8%,21,5484,5480,2265,69.5%,2.1%,21.6%,4.1%,0.0%,2.7%
ROME,ONEIDA,5481,100.0%,100.0%,0,0,6.9%,83.4%,376,4572,5105,909,77.9%,8.6%,8.8%,1.5%,0.2%,3.0%
MAMARONECK,WESTCHESTER,5441,100.0%,100.0%,0,0,2.7%,40.9%,147,2242,5290,3244,67.1%,2.5%,22.3%,3.6%,0.1%,4.4%
LANCASTER,ERIE,5427,100.0%,100.0%,0,0,0.4%,100.0%,22,5427,5405,0,90.9%,1.2%,3.2%,2.0%,0.2%,2.5%
RIVERHEAD,SUFFOLK,5420,99.0%,89.0%,52,497,5.6%,69.9%,306,3148,5090,856,30.6%,8.8%,57.6%,1.1%,0.2%,1.7%
BALDWINSVILLE,ONONDAGA,5348,100.0%,100.0%,0,0,0.8%,100.0%,45,5348,5298,0,87.1%,2.3%,4.7%,0.7%,0.2%,5.0%
CONNETQUOT,SUFFOLK,5341,100.0%,90.5%,0,523,0.0%,20.5%,0,1124,5351,3843,71.7%,2.7%,17.0%,6.4%,0.2%,2.0%
FARMINGDALE,NASSAU,5286,100.0%,100.0%,0,0,2.4%,83.1%,111,5286,4575,1078,57.6%,6.5%,26.9%,5.9%,0.6%,2.4%
RUSH HENRIETTA,MONROE,5204,100.0%,100.0%,0,0,0.5%,100.0%,25,5204,5179,0,55.6%,13.2%,8.1%,15.9%,0.2%,7.0%
HICKSVILLE,NASSAU,5186,99.8%,100.0%,10,0,0.0%,86.4%,0,5062,5045,800,24.6%,2.0%,34.8%,36.5%,0.2%,1.9%
BELLMORE-MERRICK,NASSAU,5140,99.9%,100.0%,3,0,0.1%,6.8%,3,352,5137,4787,77.3%,2.7%,11.2%,7.0%,0.4%,1.4%
PORT WASHINGTON,NASSAU,5061,100.0%,100.0%,0,0,0.9%,100.0%,46,5061,5015,0,61.8%,1.4%,21.7%,11.0%,0.1%,4.1%
PLAINVIEW,NASSAU,4972,100.0%,100.0%,0,0,0.0%,100.0%,0,4972,4972,0,64.1%,0.2%,6.4%,27.2%,0.0%,2.1%
BINGHAMTON,BROOME,4963,95.3%,98.5%,232,71,1.6%,98.5%,80,4803,4602,0,40.6%,29.0%,15.3%,2.8%,0.1%,12.1%
OSSINING,WESTCHESTER,4942,100.0%,100.0%,0,0,2.3%,71.6%,113,3544,4800,1405,19.6%,9.4%,64.0%,3.9%,0.0%,3.1%
