School Name,District Name,County,Enrollment Total,Internet Access Rate,Device Access Rate,Lack Internet Total,Lack Device Total,Provided Internet Rate,Provided Device Rate,Provided Internet Total,Provided Device Total,Home Internet Total,Home Device Total,White Percentage,Black Percentage,Latinx Percentage,Asian Percentage,Native Percentage,Multiracial Percentage
ACADEMIC LEADERSHIP CHARTER SCHOOL,ACADEMIC LEADERSHIP CHARTER,BRONX,612,100.0%,98.7%,0,8,0.5%,57.7%,3,353,609,251,1.2%,45.9%,50.0%,0.9%,0.9%,1.1%
ACADEMY CHARTER SCHOOL,ACADEMY CHARTER SCHOOL,NASSAU,1787,97.1%,100.0%,53,0,2.9%,100.0%,53,1787,1734,0,0.8%,46.4%,49.4%,0.9%,1.8%,0.7%
ACADEMY CHARTER SCHOOL-UNIONDALE,ACADEMY CHARTER SCHOOL-UNION,NASSAU,467,95.5%,100.0%,22,0,4.5%,100.0%,22,467,445,0,0.4%,63.5%,28.1%,0.6%,6.0%,1.3%
ACADEMY OF HEALTH SCIENCES CHARTER,ACADEMY OF HEALTH SCIENCES C,MONROE,205,100.0%,100.0%,0,0,2.9%,100.0%,6,205,199,0,7.3%,78.0%,14.1%,0.0%,0.0%,0.5%
ACADEMY OF THE CITY CHARTER SCHOOL,ACADEMY OF THE CITY CHARTER,QUEENS,647,100.0%,100.0%,0,0,5.8%,74.5%,40,481,647,165,12.7%,7.6%,49.4%,27.1%,1.0%,2.2%
ADDISON MIDDLE/HIGH SCHOOL,ADDISON,STEUBEN,542,99.8%,100.0%,1,0,1.3%,50.0%,7,542,534,542,94.7%,0.6%,1.8%,1.1%,0.4%,1.5%
TUSCARORA ELEMENTARY SCHOOL,ADDISON,STEUBEN,400,99.3%,100.0%,3,0,3.5%,100.0%,14,400,383,0,97.0%,0.2%,1.7%,0.2%,0.0%,0.7%
VALLEY EARLY CHILDHOOD SCHOOL,ADDISON,STEUBEN,78,91.0%,0.0%,7,78,0.0%,0.0%,0,0,71,0,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
ADIRONDACK HIGH SCHOOL,ADIRONDACK,ONEIDA,349,100.0%,100.0%,0,0,20.3%,100.0%,71,349,278,0,98.9%,0.0%,0.3%,0.0%,0.0%,0.9%
ADIRONDACK MIDDLE SCHOOL,ADIRONDACK,ONEIDA,294,92.9%,100.0%,21,0,33.0%,100.0%,97,294,176,0,97.3%,0.0%,0.3%,0.0%,0.0%,2.4%
BOONVILLE ELEMENTARY SCHOOL,ADIRONDACK,ONEIDA,404,41.8%,100.0%,235,0,12.6%,98.1%,51,368,118,7,97.7%,0.5%,1.0%,0.5%,0.0%,0.3%
WEST LEYDEN ELEMENTARY SCHOOL,ADIRONDACK,LEWIS,119,89.1%,100.0%,14,0,7.8%,100.0%,10,119,105,0,98.3%,0.0%,0.0%,0.0%,0.0%,1.7%
